Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/P_USE/29/Page_Bluuu/div_Town in Town Village""))",Chrome 88.0.4324.182,,,2021-02-24 14:13:16,2021-02-24 14:13:19,3.136s,PASSED
"click(findTestObject(""Object Repository/P_USE/29/Page_Bluuu/div__arrow-down_1""))",Chrome 88.0.4324.182,,,2021-02-24 14:13:19,2021-02-24 14:13:22,3.015s,PASSED
"click(findTestObject(""Object Repository/P_USE/29/Page_Bluuu/li_ 1""))",Chrome 88.0.4324.182,,,2021-02-24 14:13:22,2021-02-24 14:13:25,3.163s,PASSED
"click(findTestObject(""Object Repository/P_USE/29/Page_Bluuu/div__arrow-down_1_2""))",Chrome 88.0.4324.182,,,2021-02-24 14:13:25,2021-02-24 14:13:28,3.032s,PASSED
"click(findTestObject(""Object Repository/P_USE/29/Page_Bluuu/li_2""))",Chrome 88.0.4324.182,,,2021-02-24 14:13:28,2021-02-24 14:13:31,3.101s,PASSED
"click(findTestObject(""Object Repository/P_USE/29/Page_Bluuu/div__arrow-down_1_2_3""))",Chrome 88.0.4324.182,,,2021-02-24 14:13:31,2021-02-24 14:13:34,2.965s,PASSED
"click(findTestObject(""Object Repository/P_USE/29/Page_Bluuu/li_""))",Chrome 88.0.4324.182,,,2021-02-24 14:13:34,2021-02-24 14:13:37,3.136s,PASSED
"click(findTestObject(""Object Repository/P_USE/29/Page_Bluuu/label_""))",Chrome 88.0.4324.182,,,2021-02-24 14:13:37,2021-02-24 14:13:40,2.979s,PASSED
"click(findTestObject(""Object Repository/P_USE/29/Page_Bluuu/span_""))",Chrome 88.0.4324.182,ฉันยอมรับ,,2021-02-24 14:13:40,2021-02-24 14:13:41,0.391s,PASSED
"click(findTestObject(""Object Repository/P_USE/29/Page_Bluuu/button_""))",Chrome 88.0.4324.182,จอง,,2021-02-24 14:13:41,2021-02-24 14:13:41,0.508s,PASSED
"text = getText(findTestObject(""Object Repository/P_USE/29/Page_Bluuu/p_""))",Chrome 88.0.4324.182,,,2021-02-24 14:13:41,2021-02-24 14:13:42,0.846s,PASSED
"c1 = ""เนื่องจากมีผู้ใช้บริการเป็นจำนวนมาก ทำให้แม่บ้านของเรา ไม่สามารถให้บริการได้ในเวลาดังกล่าว""",Chrome 88.0.4324.182,,,2021-02-24 14:13:42,2021-02-24 14:13:42,0.000s,PASSED
"c2 = ""โปรดเลือกใช้บริการแม่บ้านของเราในช่วงเวลาอื่น และอภัยในความไม่สะดวก เราจะทำงานอย่างเต็มที่ เพื่อจัดหาแม่บ้านเพื่อคุณ ขอบคุณสำหรับการใช้บริการ""",Chrome 88.0.4324.182,,,2021-02-24 14:13:42,2021-02-24 14:13:42,0.000s,PASSED
"if (text == c1 + ""
"" + c2)",Chrome 88.0.4324.182,,,2021-02-24 14:13:42,2021-02-24 14:13:43,1.066s,PASSED
,,,,,,,
Test Cases/Special Case/30_One_maid,Chrome 88.0.4324.182,,,2021-02-24 14:13:43,2021-02-24 14:14:44,1m - 0.771s,PASSED
"openBrowser("""")",Chrome 88.0.4324.182,,,2021-02-24 14:13:44,2021-02-24 14:13:45,1.147s,PASSED
"navigateToUrl(""https://uat.bluuu.co/"")",Chrome 88.0.4324.182,,,2021-02-24 14:13:45,2021-02-24 14:13:53,8.039s,PASSED
maximizeWindow(),Chrome 88.0.4324.182,,,2021-02-24 14:13:53,2021-02-24 14:13:53,0.135s,PASSED
"click(findTestObject(""Object Repository/P_USE/30/Page_Bluuu -/a_""))",Chrome 88.0.4324.182,,,2021-02-24 14:13:53,2021-02-24 14:13:54,0.611s,PASSED
"click(findTestObject(""Object Repository/P_USE/30/Page_Bluuu/svg__vc-svg-icon""))",Chrome 88.0.4324.182,,,2021-02-24 14:13:54,2021-02-24 14:13:55,1.189s,PASSED
"click(findTestObject(""Object Repository/P_USE/30/Page_Bluuu/svg__vc-svg-icon""))",Chrome 88.0.4324.182,,,2021-02-24 14:13:55,2021-02-24 14:13:56,0.837s,PASSED
"click(findTestObject(""Object Repository/P_USE/30/Page_Bluuu/svg__vc-svg-icon""))",Chrome 88.0.4324.182,,,2021-02-24 14:13:56,2021-02-24 14:13:56,0.722s,PASSED
"click(findTestObject(""Object Repository/P_USE/30/Page_Bluuu/svg__vc-svg-icon""))",Chrome 88.0.4324.182,,,2021-02-24 14:13:56,2021-02-24 14:13:57,0.709s,PASSED
"click(findTestObject(""Object Repository/P_USE/30/Page_Bluuu/svg__vc-svg-icon""))",Chrome 88.0.4324.182,,,2021-02-24 14:13:57,2021-02-24 14:13:58,0.715s,PASSED
"click(findTestObject(""Object Repository/P_USE/30/Page_Bluuu/svg__vc-svg-icon""))",Chrome 88.0.4324.182,,,2021-02-24 14:13:58,2021-02-24 14:13:59,0.700s,PASSED
